image_id,annotation_path,instability_score
1034,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1034.json,2
1035,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1035.json,2
1036,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1036.json,2
1037,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1037.json,2
1038,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1038.json,1
1039,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1039.json,1
104,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\104.json,1
1040,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1040.json,1
1041,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1041.json,1
1042,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1042.json,5
1043,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1043.json,1
1044,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1044.json,2
1045,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1045.json,1
1046,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1046.json,1
1047,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1047.json,1
1048,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1048.json,2
1049,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1049.json,3
105,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\105.json,1
1050,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1050.json,3
1051,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1051.json,3
1052,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1052.json,1
1053,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1053.json,1
1054,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1054.json,2
1055,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1055.json,5
1056,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1056.json,1
1057,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1057.json,6
1058,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1058.json,2
1059,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1059.json,3
106,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\106.json,2
1060,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1060.json,4
1061,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1061.json,3
1062,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1062.json,3
1063,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1063.json,4
1064,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1064.json,2
1065,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1065.json,3
1066,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1066.json,2
1067,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1067.json,3
1068,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1068.json,2
1069,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1069.json,1
107,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\107.json,4
1070,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1070.json,1
1071,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1071.json,1
1072,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1072.json,1
1073,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1073.json,1
1074,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1074.json,5
1075,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1075.json,3
1076,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1076.json,2
1077,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1077.json,1
1078,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1078.json,1
1079,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1079.json,2
108,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\108.json,2
1080,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1080.json,3
1081,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1081.json,3
1082,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1082.json,2
1083,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1083.json,1
1084,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1084.json,2
1085,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1085.json,4
1086,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1086.json,5
1087,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1087.json,1
1088,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1088.json,1
1089,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1089.json,2
109,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\109.json,1
1090,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1090.json,5
1091,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1091.json,3
1092,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1092.json,4
1093,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1093.json,3
1094,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1094.json,4
1095,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1095.json,1
1096,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1096.json,1
1097,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1097.json,3
1098,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1098.json,3
1099,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1099.json,2
11,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\11.json,2
110,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\110.json,2
1100,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1100.json,2
1101,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1101.json,2
1102,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1102.json,4
1103,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1103.json,2
1104,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1104.json,3
1105,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1105.json,2
1106,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1106.json,2
1107,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1107.json,1
1108,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1108.json,1
1109,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1109.json,1
111,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\111.json,1
1110,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1110.json,3
1111,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1111.json,1
1112,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1112.json,2
1113,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1113.json,3
1114,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1114.json,2
1115,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1115.json,1
1116,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1116.json,1
1117,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1117.json,1
1118,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1118.json,1
1119,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1119.json,1
112,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\112.json,1
1120,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1120.json,2
1121,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1121.json,1
1122,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1122.json,1
1123,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1123.json,1
1124,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1124.json,1
1125,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1125.json,1
1126,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1126.json,1
1127,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1127.json,1
1128,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1128.json,2
1129,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1129.json,1
113,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\113.json,1
1130,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1130.json,1
1131,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1131.json,5
1132,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1132.json,1
1133,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1133.json,2
1134,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1134.json,1
1135,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1135.json,1
1136,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1136.json,1
1137,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1137.json,1
1138,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1138.json,4
1139,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1139.json,7
114,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\114.json,4
1140,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1140.json,1
1141,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1141.json,1
1142,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1142.json,3
1143,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1143.json,2
1144,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1144.json,2
1145,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1145.json,1
1146,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1146.json,1
1147,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1147.json,1
1148,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1148.json,4
1149,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1149.json,4
115,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\115.json,1
1150,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1150.json,1
1151,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1151.json,3
1152,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1152.json,1
1153,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1153.json,6
1154,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1154.json,1
1155,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1155.json,3
1156,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1156.json,4
1157,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1157.json,6
1158,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1158.json,3
1159,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1159.json,5
116,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\116.json,1
1160,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1160.json,2
1161,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1161.json,3
1162,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1162.json,2
1163,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1163.json,5
1164,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1164.json,1
1165,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1165.json,6
